onetcode;onet19;soccode18;soc18;stem ;soc10;isco08;isco88;cbo02;ocup cbo
19309100;Anthropologists and Archeologists;193091;Anthropologists and Archeologists;1;193091;2632;2442;251120;Sociólogo
19309200;Geographers;193092;Geographers;1;193092;2632;2442;251120;Sociólogo
19309300;Historians;193093;Historians;0;193093;2633;2443;203520;Historiador
19309400;Political Scientists;193094;Political Scientists;1;193094;2633;2443;203520;Historiador
19309900;Social Scientists and Related Workers, All Other;193099;Social Scientists and Related Workers, All Other;1;193099;2633;2443;203520;Historiador
19309901;Transportation Planners;193099;Social Scientists and Related Workers, All Other;1;193099;2633;2443;203520;Historiador
19401200;Agricultural Technicians;194012;Agricultural Technicians;1;194011;3142;3212;321105;Técnico agrícola
19401201;Precision Agriculture Technicians;194012;Agricultural Technicians;1;194011;3142;3212;321105;Técnico agrícola
19401300;Food Science Technicians;194013;Food Science Technicians;1;194011;3142;3212;321105;Técnico agrícola
19402100;Biological Technicians;194021;Biological Technicians;1;194021;3141;3211;324205;Técnico de laboratório de análises clínicas
19403100;Chemical Technicians;194031;Chemical Technicians;1;194031;3111;3111;316110;Técnico de geologia
19404200;Environmental Science and Protection Technicians, Including Health;194042;Environmental Science and Protection Technicians, Including Health;1;194091;3141;3211;324205;Técnico de laboratório de análises clínicas
19404300;Geological Technicians, Except Hydrologic Technicians;194043;Geological Technicians, Except Hydrologic Technicians;1;194041;3111;3111;316110;Técnico de geologia
19404400;Hydrologic Technicians;194044;Hydrologic Technicians;1;194041;3111;3111;316110;Técnico de geologia
19405100;Nuclear Technicians;194051;Nuclear Technicians;1;194051;3119;3119;311615;Técnico têxtil (fiação)
19405102;Nuclear Monitoring Technicians;194051;Nuclear Technicians;1;194051;3119;3119;311615;Técnico têxtil (fiação)
19406100;Social Science Research Assistants;194061;Social Science Research Assistants;1;194061;3314;3434;424125;Técnico de estatística
19407100;Forest and Conservation Technicians;194071;Forest and Conservation Technicians;1;194093;3143;3212;321105;Técnico agrícola
19409200;Forensic Science Technicians;194092;Forensic Science Technicians;1;194092;3119;3119;311615;Técnico têxtil (fiação)
19409900;Life, Physical, and Social Science Technicians, All Other;194099;Life, Physical, and Social Science Technicians, All Other;1;194099;3111;3111;316110;Técnico de geologia
19409901;Quality Control Analysts;194099;Life, Physical, and Social Science Technicians, All Other;1;194099;3111;3111;316110;Técnico de geologia
19409903;Remote Sensing Technicians;194099;Life, Physical, and Social Science Technicians, All Other;1;194099;3111;3111;316110;Técnico de geologia
19501100;Occupational Health and Safety Specialists;195011;Occupational Health and Safety Specialists;0;299011;2263;2229;223710;Nutricionista
19501200;Occupational Health and Safety Technicians;195012;Occupational Health and Safety Technicians;0;299012;3257;3152;391205;Inspetor de qualidade
21101100;Substance Abuse and Behavioral Disorder Counselors;211011;Substance Abuse and Behavioral Disorder Counselors;0;211011;2635;2446;251605;Assistente social
21101200;Educational, Guidance, and Career Counselors and Advisors;211012;Educational, Guidance, and Career Counselors and Advisors;0;211012;2359;2359;#N/D;#N/D
21101300;Marriage and Family Therapists;211013;Marriage and Family Therapists;0;211013;2635;2446;251605;Assistente social
21101400;Mental Health Counselors;211014;Mental Health Counselors;0;211014;2635;2446;251605;Assistente social
21101500;Rehabilitation Counselors;211015;Rehabilitation Counselors;0;211015;2635;2446;251605;Assistente social
21101900;Counselors, All Other;211019;Counselors, All Other;0;211019;2635;2446;251605;Assistente social
21102100;Child, Family, and School Social Workers;211021;Child, Family, and School Social Workers;0;211021;2635;2446;251605;Assistente social
21102200;Healthcare Social Workers;211022;Healthcare Social Workers;0;211022;2635;2446;251605;Assistente social
21102300;Mental Health and Substance Abuse Social Workers;211023;Mental Health and Substance Abuse Social Workers;0;211023;2635;2446;251605;Assistente social
21102900;Social Workers, All Other;211029;Social Workers, All Other;0;211029;2635;2446;251605;Assistente social
21109100;Health Education Specialists;211091;Health Education Specialists;0;211091;2263;2229;223710;Nutricionista
21109200;Probation Officers and Correctional Treatment Specialists;211092;Probation Officers and Correctional Treatment Specialists;0;211092;2635;2446;251605;Assistente social
21109300;Social and Human Service Assistants;211093;Social and Human Service Assistants;0;211093;3412;3460;#N/D;#N/D
21109400;Community Health Workers;211094;Community Health Workers;0;211094;3253;3221;#N/D;#N/D
21109900;Community and Social Service Specialists, All Other;211099;Community and Social Service Specialists, All Other;0;211099;2635;2446;251605;Assistente social
21201100;Clergy;212011;Clergy;0;212011;2636;2460;263105;Ministro de culto religioso
21202100;Directors, Religious Activities and Education;212021;Directors, Religious Activities and Education;0;212021;2636;2460;263105;Ministro de culto religioso
21209900;Religious Workers, All Other;212099;Religious Workers, All Other;0;212099;3413;3242;#N/D;#N/D
23101100;Lawyers;231011;Lawyers;0;231011;2611;2421;241015;Advogado (direito civil)
23101200;Judicial Law Clerks;231012;Judicial Law Clerks;0;231012;3411;3432;241335;Tabelião
23102100;Administrative Law Judges, Adjudicators, and Hearing Officers;231021;Administrative Law Judges, Adjudicators, and Hearing Officers;0;231021;2612;2422;111330;Juiz federal
23102200;Arbitrators, Mediators, and Conciliators;231022;Arbitrators, Mediators, and Conciliators;0;231022;2619;2429;241215;Procurador da fazenda nacional
23102300;Judges, Magistrate Judges, and Magistrates;231023;Judges, Magistrate Judges, and Magistrates;0;231023;2612;2422;111330;Juiz federal
23201100;Paralegals and Legal Assistants;232011;Paralegals and Legal Assistants;0;232011;3411;3432;241335;Tabelião
23209300;Title Examiners, Abstractors, and Searchers;232093;Title Examiners, Abstractors, and Searchers;0;232093;3411;3432;241335;Tabelião
23209900;Legal Support Workers, All Other;232099;Legal Support Workers, All Other;0;232099;3411;3432;241335;Tabelião
25101100;Business Teachers, Postsecondary;251011;Business Teachers, Postsecondary;0;251011;2310;2310;234505;Professor de didática (ensino superior)
25102100;Computer Science Teachers, Postsecondary;251021;Computer Science Teachers, Postsecondary;1;251021;2310;2310;234505;Professor de didática (ensino superior)
25102200;Mathematical Science Teachers, Postsecondary;251022;Mathematical Science Teachers, Postsecondary;1;251022;2310;2310;234505;Professor de didática (ensino superior)
25103100;Architecture Teachers, Postsecondary;251031;Architecture Teachers, Postsecondary;1;251031;2310;2310;234505;Professor de didática (ensino superior)
25103200;Engineering Teachers, Postsecondary;251032;Engineering Teachers, Postsecondary;1;251032;2310;2310;234505;Professor de didática (ensino superior)
25104100;Agricultural Sciences Teachers, Postsecondary;251041;Agricultural Sciences Teachers, Postsecondary;1;251041;2310;2310;234505;Professor de didática (ensino superior)
25104200;Biological Science Teachers, Postsecondary;251042;Biological Science Teachers, Postsecondary;1;251042;2310;2310;234505;Professor de didática (ensino superior)
25104300;Forestry and Conservation Science Teachers, Postsecondary;251043;Forestry and Conservation Science Teachers, Postsecondary;1;251043;2310;2310;234505;Professor de didática (ensino superior)
25105100;Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary;251051;Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary;1;251051;2310;2310;234505;Professor de didática (ensino superior)
25105200;Chemistry Teachers, Postsecondary;251052;Chemistry Teachers, Postsecondary;1;251052;2310;2310;234505;Professor de didática (ensino superior)
25105300;Environmental Science Teachers, Postsecondary;251053;Environmental Science Teachers, Postsecondary;1;251053;2310;2310;234505;Professor de didática (ensino superior)
25105400;Physics Teachers, Postsecondary;251054;Physics Teachers, Postsecondary;1;251054;2310;2310;234505;Professor de didática (ensino superior)
25106100;Anthropology and Archeology Teachers, Postsecondary;251061;Anthropology and Archeology Teachers, Postsecondary;1;251061;2310;2310;234505;Professor de didática (ensino superior)
25106200;Area, Ethnic, and Cultural Studies Teachers, Postsecondary;251062;Area, Ethnic, and Cultural Studies Teachers, Postsecondary;1;251062;2310;2310;234505;Professor de didática (ensino superior)
25106300;Economics Teachers, Postsecondary;251063;Economics Teachers, Postsecondary;1;251063;2310;2310;234505;Professor de didática (ensino superior)
25106400;Geography Teachers, Postsecondary;251064;Geography Teachers, Postsecondary;1;251064;2310;2310;234505;Professor de didática (ensino superior)
25106500;Political Science Teachers, Postsecondary;251065;Political Science Teachers, Postsecondary;1;251065;2310;2310;234505;Professor de didática (ensino superior)
25106600;Psychology Teachers, Postsecondary;251066;Psychology Teachers, Postsecondary;1;251066;2310;2310;234505;Professor de didática (ensino superior)
25106700;Sociology Teachers, Postsecondary;251067;Sociology Teachers, Postsecondary;1;251067;2310;2310;234505;Professor de didática (ensino superior)
25106900;Social Sciences Teachers, Postsecondary, All Other;251069;Social Sciences Teachers, Postsecondary, All Other;1;251069;2310;2310;234505;Professor de didática (ensino superior)
25107100;Health Specialties Teachers, Postsecondary;251071;Health Specialties Teachers, Postsecondary;1;251071;2310;2310;234505;Professor de didática (ensino superior)
25107200;Nursing Instructors and Teachers, Postsecondary;251072;Nursing Instructors and Teachers, Postsecondary;1;251072;2310;2310;234505;Professor de didática (ensino superior)
25108100;Education Teachers, Postsecondary;251081;Education Teachers, Postsecondary;0;251081;2310;2310;234505;Professor de didática (ensino superior)
25108200;Library Science Teachers, Postsecondary;251082;Library Science Teachers, Postsecondary;0;251082;2310;2310;234505;Professor de didática (ensino superior)
25111100;Criminal Justice and Law Enforcement Teachers, Postsecondary;251111;Criminal Justice and Law Enforcement Teachers, Postsecondary;0;251111;2310;2310;234505;Professor de didática (ensino superior)
25111200;Law Teachers, Postsecondary;251112;Law Teachers, Postsecondary;0;251112;2310;2310;234505;Professor de didática (ensino superior)
25111300;Social Work Teachers, Postsecondary;251113;Social Work Teachers, Postsecondary;0;251113;2310;2310;234505;Professor de didática (ensino superior)
25112100;Art, Drama, and Music Teachers, Postsecondary;251121;Art, Drama, and Music Teachers, Postsecondary;0;251121;2310;2310;234505;Professor de didática (ensino superior)
25112200;Communications Teachers, Postsecondary;251122;Communications Teachers, Postsecondary;0;251122;2310;2310;234505;Professor de didática (ensino superior)
25112300;English Language and Literature Teachers, Postsecondary;251123;English Language and Literature Teachers, Postsecondary;0;251123;2310;2310;234505;Professor de didática (ensino superior)
25112400;Foreign Language and Literature Teachers, Postsecondary;251124;Foreign Language and Literature Teachers, Postsecondary;0;251124;2310;2310;234505;Professor de didática (ensino superior)
25112500;History Teachers, Postsecondary;251125;History Teachers, Postsecondary;0;251125;2310;2310;234505;Professor de didática (ensino superior)
25112600;Philosophy and Religion Teachers, Postsecondary;251126;Philosophy and Religion Teachers, Postsecondary;0;251126;2310;2310;234505;Professor de didática (ensino superior)
25119200;Family and Consumer Sciences Teachers, Postsecondary;251192;Family and Consumer Sciences Teachers, Postsecondary;0;251192;2310;2310;234505;Professor de didática (ensino superior)
25119300;Recreation and Fitness Studies Teachers, Postsecondary;251193;Recreation and Fitness Studies Teachers, Postsecondary;0;251193;2310;2310;234505;Professor de didática (ensino superior)
25119400;Career/Technical Education Teachers, Postsecondary;251194;Career/Technical Education Teachers, Postsecondary;0;251194;2320;2310;234505;Professor de didática (ensino superior)
25119900;Postsecondary Teachers, All Other;251199;Postsecondary Teachers, All Other;0;251199;2310;2310;234505;Professor de didática (ensino superior)
25201100;Preschool Teachers, Except Special Education;252011;Preschool Teachers, Except Special Education;0;252011;2342;2332;#N/D;#N/D
25201200;Kindergarten Teachers, Except Special Education;252012;Kindergarten Teachers, Except Special Education;0;252012;2342;2332;#N/D;#N/D
25202100;Elementary School Teachers, Except Special Education;252021;Elementary School Teachers, Except Special Education;0;252021;2341;2331;231210;Professor de 1a. a 4a. série (ensino de 1o. grau)
25202200;Middle School Teachers, Except Special and Career/Technical Education;252022;Middle School Teachers, Except Special and Career/Technical Education;0;252022;2341;2331;231210;Professor de 1a. a 4a. série (ensino de 1o. grau)
25202300;Career/Technical Education Teachers, Middle School;252023;Career/Technical Education Teachers, Middle School;0;252023;2320;2310;234505;Professor de didática (ensino superior)
25203100;Secondary School Teachers, Except Special and Career/Technical Education;252031;Secondary School Teachers, Except Special and Career/Technical Education;0;252031;2330;2320;232145;Professor de língua portuguesa e literatura brasileira (ensino2o. grau)
25203200;Career/Technical Education Teachers, Secondary School;252032;Career/Technical Education Teachers, Secondary School;0;252032;2320;2310;234505;Professor de didática (ensino superior)
25205100;Special Education Teachers, Preschool;252051;Special Education Teachers, Preschool;0;252051;2352;2340;239215;Professor de alunos com deficências mentais
25205500;Special Education Teachers, Kindergarten;252055;Special Education Teachers, Kindergarten;0;252052;2352;2340;239215;Professor de alunos com deficências mentais
25205600;Special Education Teachers, Elementary School;252056;Special Education Teachers, Elementary School;0;252052;2352;2340;239215;Professor de alunos com deficências mentais
25205700;Special Education Teachers, Middle School;252057;Special Education Teachers, Middle School;0;252053;2352;2340;239215;Professor de alunos com deficências mentais
25205800;Special Education Teachers, Secondary School;252058;Special Education Teachers, Secondary School;0;252054;2352;2340;239215;Professor de alunos com deficências mentais
25205900;Special Education Teachers, All Other;252059;Special Education Teachers, All Other;0;252059;2352;2340;239215;Professor de alunos com deficências mentais
25205901;Adapted Physical Education Specialists;252059;Special Education Teachers, All Other;0;252059;2352;2340;239215;Professor de alunos com deficências mentais
25301100;Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors;253011;Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors;0;253011;2353;2359;#N/D;#N/D
25302100;Self-Enrichment Teachers;253021;Self-Enrichment Teachers;0;253021;2353;2359;#N/D;#N/D
25303100;Substitute Teachers, Short-Term;253031;Substitute Teachers, Short-Term;0;253099;2359;2359;#N/D;#N/D
25304100;Tutors;253041;Tutors;0;253099;2359;2359;#N/D;#N/D
25309900;Teachers and Instructors, All Other;253099;Teachers and Instructors, All Other;0;253099;2359;2359;#N/D;#N/D
25401100;Archivists;254011;Archivists;0;254011;2621;2431;261305;Arquivologista
25401200;Curators;254012;Curators;0;254012;2621;2431;261305;Arquivologista
25401300;Museum Technicians and Conservators;254013;Museum Technicians and Conservators;0;254013;3433;3439;411010;Agente administrativo
25402200;Librarians and Media Collections Specialists;254022;Librarians and Media Collections Specialists;0;254021;2622;2432;261205;Bibliotecário
25403100;Library Technicians;254031;Library Technicians;0;254031;3433;3439;411010;Agente administrativo
25902100;Farm and Home Management Educators;259021;Farm and Home Management Educators;0;259021;2132;2213;222110;Engenheiro agrônomo
25903100;Instructional Coordinators;259031;Instructional Coordinators;0;259031;2351;2351;239430;Supervisor educacional
25904200;Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education;259042;Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education;0;259041;5312;5131;516205;Babá
25904300;Teaching Assistants, Special Education;259043;Teaching Assistants, Special Education;0;259041;5312;5131;516205;Babá
25904400;Teaching Assistants, Postsecondary;259044;Teaching Assistants, Postsecondary;0;251191;2310;2310;234505;Professor de didática (ensino superior)
25904900;Teaching Assistants, All Other;259049;Teaching Assistants, All Other;0;259041;5312;5131;516205;Babá
25909900;Educational Instruction and Library Workers, All Other;259099;Educational Instruction and Library Workers, All Other;0;259099;2359;2359;#N/D;#N/D
27101100;Art Directors;271011;Art Directors;0;271011;2654;1229;131305;Diretor de estabelecimento de ensino superior
27101200;Craft Artists;271012;Craft Artists;0;271012;2651;2452;262405;Escultor
27101300;Fine Artists, Including Painters, Sculptors, and Illustrators;271013;Fine Artists, Including Painters, Sculptors, and Illustrators;0;271013;2651;2452;262405;Escultor
27101400;Special Effects Artists and Animators;271014;Special Effects Artists and Animators;0;271014;2166;3471;262410;Desenhista industrial (designer)
27101900;Artists and Related Workers, All Other;271019;Artists and Related Workers, All Other;0;271019;3435;1229;131305;Diretor de estabelecimento de ensino superior
27102100;Commercial and Industrial Designers;271021;Commercial and Industrial Designers;0;271021;2163;3471;262410;Desenhista industrial (designer)
27102200;Fashion Designers;271022;Fashion Designers;0;271022;2163;3471;262410;Desenhista industrial (designer)
27102300;Floral Designers;271023;Floral Designers;0;271023;7549;7322;752115;Soprador de vidro
27102400;Graphic Designers;271024;Graphic Designers;0;271024;2166;3471;262410;Desenhista industrial (designer)
27102500;Interior Designers;271025;Interior Designers;0;271025;3432;3471;262410;Desenhista industrial (designer)
27102600;Merchandise Displayers and Window Trimmers;271026;Merchandise Displayers and Window Trimmers;0;271026;3432;3471;262410;Desenhista industrial (designer)
27102700;Set and Exhibit Designers;271027;Set and Exhibit Designers;0;271027;3432;3471;262410;Desenhista industrial (designer)
27102900;Designers, All Other;271029;Designers, All Other;0;271029;2163;3471;262410;Desenhista industrial (designer)
27201100;Actors;272011;Actors;0;272011;2655;2455;262505;Ator
27201200;Producers and Directors;272012;Producers and Directors;0;272012;2654;1229;131305;Diretor de estabelecimento de ensino superior
27201203;Media Programming Directors;272012;Producers and Directors;0;272012;2654;1229;131305;Diretor de estabelecimento de ensino superior
27201204;Talent Directors;272012;Producers and Directors;0;272012;2654;1229;131305;Diretor de estabelecimento de ensino superior
27201205;Media Technical Directors/Managers;272012;Producers and Directors;0;272012;2654;1229;131305;Diretor de estabelecimento de ensino superior
27202100;Athletes and Sports Competitors;272021;Athletes and Sports Competitors;0;272021;3421;3475;224120;Preparador físico
27202200;Coaches and Scouts;272022;Coaches and Scouts;0;272022;3422;3475;224120;Preparador físico
27202300;Umpires, Referees, and Other Sports Officials;272023;Umpires, Referees, and Other Sports Officials;0;272023;3422;3475;224120;Preparador físico
27203100;Dancers;272031;Dancers;0;272031;2653;2454;262815;Coreógrafo
27203200;Choreographers;272032;Choreographers;0;272032;2653;2454;262815;Coreógrafo
27204100;Music Directors and Composers;272041;Music Directors and Composers;0;272041;2652;2453;262605;Compositor musical
27204200;Musicians and Singers;272042;Musicians and Singers;0;272042;2652;2453;262605;Compositor musical
27209100;Disc Jockeys, Except Radio;272091;Disc Jockeys, Except Radio;0;272099;2659;3474;376245;Palhaço
27209900;Entertainers and Performers, Sports and Related Workers, All Other;272099;Entertainers and Performers, Sports and Related Workers, All Other;0;272099;2659;3474;376245;Palhaço
27301100;Broadcast Announcers and Radio Disc Jockeys;273011;Broadcast Announcers and Radio Disc Jockeys;0;273011;2656;3472;261715;Locutor
27302300;News Analysts, Reporters, and Journalists;273023;News Analysts, Reporters, and Journalists;0;273021;2656;3472;261715;Locutor
27303100;Public Relations Specialists;273031;Public Relations Specialists;0;273031;2432;2419;252105;Administrador
27304100;Editors;273041;Editors;0;273041;2641;2451;261515;Escritor
27304200;Technical Writers;273042;Technical Writers;0;273042;2641;2451;261515;Escritor
27304300;Writers and Authors;273043;Writers and Authors;0;273043;2641;2451;261515;Escritor
27304305;Poets, Lyricists and Creative Writers;273043;Writers and Authors;0;273043;2641;2451;261515;Escritor
27309100;Interpreters and Translators;273091;Interpreters and Translators;0;273091;2643;2444;261405;Filólogo
27309200;Court Reporters and Simultaneous Captioners;273092;Court Reporters and Simultaneous Captioners;0;232091;3343;3431;351305;Técnico de economia doméstica
27309900;Media and Communication Workers, All Other;273099;Media and Communication Workers, All Other;0;273012;2656;3472;261715;Locutor
27401100;Audio and Video Technicians;274011;Audio and Video Technicians;0;274011;3521;3131;261815;Fotógrafo retratista
27401200;Broadcast Technicians;274012;Broadcast Technicians;0;274012;3521;3131;261815;Fotógrafo retratista
27401400;Sound Engineering Technicians;274014;Sound Engineering Technicians;0;274014;3521;3131;261815;Fotógrafo retratista
27401500;Lighting Technicians;274015;Lighting Technicians;0;274099;3435;1229;131305;Diretor de estabelecimento de ensino superior
27402100;Photographers;274021;Photographers;0;274021;3431;3131;261815;Fotógrafo retratista
27403100;Camera Operators, Television, Video, and Film;274031;Camera Operators, Television, Video, and Film;0;274031;3521;3131;261815;Fotógrafo retratista
27403200;Film and Video Editors;274032;Film and Video Editors;0;274032;2654;1229;131305;Diretor de estabelecimento de ensino superior
27409900;Media and Communication Equipment Workers, All Other;274099;Media and Communication Equipment Workers, All Other;0;274099;3435;1229;131305;Diretor de estabelecimento de ensino superior
29101100;Chiropractors;291011;Chiropractors;1;291011;2269;2229;223710;Nutricionista
29102100;Dentists, General;291021;Dentists, General;1;291021;2261;2222;223272;Cirurgião-dentista (saúde pública)
29102200;Oral and Maxillofacial Surgeons;291022;Oral and Maxillofacial Surgeons;1;291022;2261;2222;223272;Cirurgião-dentista (saúde pública)
29102300;Orthodontists;291023;Orthodontists;1;291023;2261;2222;223272;Cirurgião-dentista (saúde pública)
29102400;Prosthodontists;291024;Prosthodontists;1;291024;2261;2222;223272;Cirurgião-dentista (saúde pública)
29102900;Dentists, All Other Specialists;291029;Dentists, All Other Specialists;1;291029;2261;2222;223272;Cirurgião-dentista (saúde pública)
29103100;Dietitians and Nutritionists;291031;Dietitians and Nutritionists;1;291031;2265;3223;#N/D;#N/D
29104100;Optometrists;291041;Optometrists;1;291041;2267;3224;223910;Ortoptista
29105100;Pharmacists;291051;Pharmacists;1;291051;2262;2113;213205;Químico
29107100;Physician Assistants;291071;Physician Assistants;1;291071;2240;3221;#N/D;#N/D
29107101;Anesthesiologist Assistants;291071;Physician Assistants;1;291071;2240;3221;#N/D;#N/D
29108100;Podiatrists;291081;Podiatrists;1;291081;2269;2229;223710;Nutricionista
29112200;Occupational Therapists;291122;Occupational Therapists;1;291122;2269;2229;223710;Nutricionista
29112201;Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists;291122;Occupational Therapists;1;291122;2269;2229;223710;Nutricionista
29112300;Physical Therapists;291123;Physical Therapists;1;291123;2264;3226;223605;Fisioterapeuta
29112400;Radiation Therapists;291124;Radiation Therapists;1;291124;3211;3133;324115;Operador de raios X
29112500;Recreational Therapists;291125;Recreational Therapists;1;291125;2269;2229;223710;Nutricionista
29112600;Respiratory Therapists;291126;Respiratory Therapists;1;291126;3259;3229;#N/D;#N/D
29112700;Speech-Language Pathologists;291127;Speech-Language Pathologists;1;291127;2266;3229;#N/D;#N/D
29112800;Exercise Physiologists;291128;Exercise Physiologists;1;291128;2264;3226;223605;Fisioterapeuta
29112900;Therapists, All Other;291129;Therapists, All Other;1;291129;2269;2229;223710;Nutricionista
29112901;Art Therapists;291129;Therapists, All Other;1;291129;2269;2229;223710;Nutricionista
29112902;Music Therapists;291129;Therapists, All Other;1;291129;2269;2229;223710;Nutricionista
29113100;Veterinarians;291131;Veterinarians;1;291131;2250;2212;203015;Anatomista
29114100;Registered Nurses;291141;Registered Nurses;1;291141;2221;2230;223560;Enfermeiro sanitarista
29114101;Acute Care Nurses;291141;Registered Nurses;1;291141;2221;2230;223560;Enfermeiro sanitarista
29114102;Advanced Practice Psychiatric Nurses;291141;Registered Nurses;1;291141;2221;2230;223560;Enfermeiro sanitarista
29114103;Critical Care Nurses;291141;Registered Nurses;1;291141;2221;2230;223560;Enfermeiro sanitarista
29114104;Clinical Nurse Specialists;291141;Registered Nurses;1;291141;2221;2230;223560;Enfermeiro sanitarista
29115100;Nurse Anesthetists;291151;Nurse Anesthetists;1;291151;2221;2230;223560;Enfermeiro sanitarista
29116100;Nurse Midwives;291161;Nurse Midwives;1;291161;2222;2230;223560;Enfermeiro sanitarista
29117100;Nurse Practitioners;291171;Nurse Practitioners;1;291171;2221;2230;223560;Enfermeiro sanitarista
29118100;Audiologists;291181;Audiologists;1;291181;2266;3229;#N/D;#N/D
29121100;Anesthesiologists;291211;Anesthesiologists;1;291061;2212;2212;203015;Anatomista
29121200;Cardiologists;291212;Cardiologists;1;291069;2211;2221;322105;Acupunturista
29121300;Dermatologists;291213;Dermatologists;1;291069;2211;2221;322105;Acupunturista
29121400;Emergency Medicine Physicians;291214;Emergency Medicine Physicians;1;291069;2211;2221;322105;Acupunturista
29121500;Family Medicine Physicians;291215;Family Medicine Physicians;1;291062;2211;2221;322105;Acupunturista
29121600;General Internal Medicine Physicians;291216;General Internal Medicine Physicians;1;291063;2211;2221;322105;Acupunturista
29121700;Neurologists;291217;Neurologists;1;291069;2211;2221;322105;Acupunturista
29121800;Obstetricians and Gynecologists;291218;Obstetricians and Gynecologists;1;291064;2212;2212;203015;Anatomista
29122100;Pediatricians, General;291221;Pediatricians, General;1;291065;2211;2221;322105;Acupunturista
29122200;Physicians, Pathologists;291222;Physicians, Pathologists;1;291069;2211;2221;322105;Acupunturista
29122300;Psychiatrists;291223;Psychiatrists;1;291066;2212;2212;203015;Anatomista
29122400;Radiologists;291224;Radiologists;1;291069;2211;2221;322105;Acupunturista
29122900;Physicians, All Other;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122901;Allergists and Immunologists;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122902;Hospitalists;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122903;Urologists;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122904;Physical Medicine and Rehabilitation Physicians;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122905;Preventive Medicine Physicians;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29122906;Sports Medicine Physicians;291229;Physicians, All Other;1;291069;2211;2221;322105;Acupunturista
29124100;Ophthalmologists, Except Pediatric;291241;Ophthalmologists, Except Pediatric;1;291069;2211;2221;322105;Acupunturista
29124200;Orthopedic Surgeons, Except Pediatric;291242;Orthopedic Surgeons, Except Pediatric;1;291067;2212;2212;203015;Anatomista
29124300;Pediatric Surgeons;291243;Pediatric Surgeons;1;291067;2212;2212;203015;Anatomista
29124900;Surgeons, All Other;291249;Surgeons, All Other;1;291067;2212;2212;203015;Anatomista
29129100;Acupuncturists;291291;Acupuncturists;1;291199;2230;3229;#N/D;#N/D
29129200;Dental Hygienists;291292;Dental Hygienists;1;292021;3251;3225;322405;Técnico em higiene dental
29129900;Healthcare Diagnosing or Treating Practitioners, All Other;291299;Healthcare Diagnosing or Treating Practitioners, All Other;1;291199;2230;3229;#N/D;#N/D
29129901;Naturopathic Physicians;291299;Healthcare Diagnosing or Treating Practitioners, All Other;1;291199;2230;3229;#N/D;#N/D
29129902;Orthoptists;291299;Healthcare Diagnosing or Treating Practitioners, All Other;1;291199;2230;3229;#N/D;#N/D
29201100;Medical and Clinical Laboratory Technologists;292011;Medical and Clinical Laboratory Technologists;1;292011;3212;3211;324205;Técnico de laboratório de análises clínicas
29201101;Cytogenetic Technologists;292011;Medical and Clinical Laboratory Technologists;1;292011;3212;3211;324205;Técnico de laboratório de análises clínicas
29201102;Cytotechnologists;292011;Medical and Clinical Laboratory Technologists;1;292011;3212;3211;324205;Técnico de laboratório de análises clínicas
29201104;Histotechnologists;292011;Medical and Clinical Laboratory Technologists;1;292011;3212;3211;324205;Técnico de laboratório de análises clínicas
29201200;Medical and Clinical Laboratory Technicians;292012;Medical and Clinical Laboratory Technicians;1;292012;3212;3211;324205;Técnico de laboratório de análises clínicas
29201201;Histology Technicians;292012;Medical and Clinical Laboratory Technicians;1;292012;3212;3211;324205;Técnico de laboratório de análises clínicas
29203100;Cardiovascular Technologists and Technicians;292031;Cardiovascular Technologists and Technicians;1;292031;3259;3229;#N/D;#N/D
29203200;Diagnostic Medical Sonographers;292032;Diagnostic Medical Sonographers;1;292032;3211;3133;324115;Operador de raios X
29203300;Nuclear Medicine Technologists;292033;Nuclear Medicine Technologists;1;292033;3211;3133;324115;Operador de raios X
29203400;Radiologic Technologists and Technicians;292034;Radiologic Technologists and Technicians;1;292034;3211;3133;324115;Operador de raios X
29203500;Magnetic Resonance Imaging Technologists;292035;Magnetic Resonance Imaging Technologists;1;292035;3211;3133;324115;Operador de raios X
29203600;Medical Dosimetrists;292036;Medical Dosimetrists;1;292099;3259;3229;#N/D;#N/D
29204200;Emergency Medical Technicians;292042;Emergency Medical Technicians;1;292041;3258;5132;322235;Auxiliar de enfermagem do trabalho
29204300;Paramedics;292043;Paramedics;1;292041;3258;5132;322235;Auxiliar de enfermagem do trabalho
29205100;Dietetic Technicians;292051;Dietetic Technicians;1;292051;3259;3229;#N/D;#N/D
29205200;Pharmacy Technicians;292052;Pharmacy Technicians;1;292052;3213;3228;#N/D;#N/D
